abbreviation	equation	uppbnd	lowbnd	geneAssociation	Subsystem	name	obj_coef	activation	baseflux	flux
12DGR120tipp	12dgr120[p] --> 12dgr120[c]	1000	0	NA	Transport Inner Membrane	1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C120	0	NA	0	0
12DGR140tipp	12dgr140[p] --> 12dgr140[c]	1000	0	NA	Transport Inner Membrane	1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C140	0	NA	0	0
12DGR141tipp	12dgr141[p] --> 12dgr141[c]	1000	0	NA	Transport Inner Membrane	1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C141	0	NA	0	0
12DGR160tipp	12dgr160[p] --> 12dgr160[c]	1000	0	NA	Transport Inner Membrane	1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C160	0	NA	0	0
12DGR161tipp	12dgr161[p] --> 12dgr161[c]	1000	0	NA	Transport Inner Membrane	1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C161	0	NA	0	0
12DGR180tipp	12dgr180[p] --> 12dgr180[c]	1000	0	NA	Transport Inner Membrane	1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C180	0	NA	0	0
12DGR181tipp	12dgr181[p] --> 12dgr181[c]	1000	0	NA	Transport Inner Membrane	1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C181	0	NA	0	0
12dgr2_ST	14 12dgr140[p] + 76 12dgr160[p] + 4 12dgr161[p] + 2 12dgr180[p] + 3 12dgr181[p] <=> 2 12dgr2-ST[p]	1000	-1000	NA	Phospholipid Metabolism	membrane 1-2-diacylglycerol composition based on http://www.biomedcentral.com/1752-0509/3/38	0	NA	4.49348181064124e-05	0
12PPDRDH	12ppd-R[c] --> h2o[c] + ppal[c]	2514.08982924493	0	( STM2040 & STM2041 & STM2042 & STM2043 & STM2044)	1 2 Propanediol Catabolism	R Propane 1 2 diol dehydratase	0	2.51408982924493	0	0
12PPDRtex	12ppd-R[e] <=> 12ppd-R[p]	1154.12423660537	-1154.12423660537	( STM0320  |  STM0999  |  STM1473  |  STM2267 )	Transport Outer Membrane Porin	R Propane 1 2 diol transport via diffusion extracellular to periplasm	0	1.15412423660537	0	0
12PPDRtpp	12ppd-R[p] <=> 12ppd-R[c]	1000	-1000	STM2037	Transport Inner Membrane	R Propane 1 2 diol facilitated transport periplasm	0	NA	0	0
12PPDS2tpp	12ppd-S[p] <=> 12ppd-S[c]	1000	-1000	STM2037	Transport Inner Membrane	S Propane 1 2 diol facilitated transport 2 periplasm	0	NA	1000	-1000
12PPDSDH	12ppd-S[c] --> h2o[c] + ppal[c]	2514.08982924493	0	( STM2040 & STM2041 & STM2042 & STM2043 & STM2044)	1 2 Propanediol Catabolism	S Propane 1 2 diol dehydratase	0	2.51408982924493	0	0
12PPDStex	12ppd-S[e] <=> 12ppd-S[p]	1154.12423660537	-1154.12423660537	( STM0320  |  STM0999  |  STM1473  |  STM2267 )	Transport Outer Membrane Porin	S Propane 1 2 diol transport via diffusion extracellular to periplasm	0	1.15412423660537	0	0
12PPDStpp	12ppd-S[p] <=> 12ppd-S[c]	1000	-1000	STM2037	Transport Inner Membrane	S Propane 1 2 diol facilitated transport periplasm	0	NA	-1000	1000
14GLUCANabcpp	14glucan[p] + atp[c] + h2o[c] --> 14glucan[c] + adp[c] + h[c] + pi[c]	1285.79931048104	0	( STM4229  &  STM4228  &  STM4227  &  STM4230 )	Transport Inner Membrane	1 4 alpha D glucan transport via ABC system periplasm	0	1.28579931048104	0	0
14GLUCANtexi	14glucan[e] --> 14glucan[p]	1983.26131882997	0	STM4231	Transport Outer Membrane	1 4 alpha D glucan transport via diffusion extracellular to periplasm irreversible	0	1.98326131882997	0	0
23CAMPtex	23camp[e] <=> 23camp[p]	1154.12423660537	-1154.12423660537	( STM0320  |  STM0999  |  STM1473  |  STM2267 )	Transport Outer Membrane Porin	23cAMP transport via diffusion extracellular to periplasm	0	1.15412423660537	0	0
